Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0603_1608Metric,55.88,-109.22,90.0,top
C2,47µF,C_0805_2012Metric,50.104,-112.268,180.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,96.012,-114.3,180.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,90.932,-114.3,180.0,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,85.852,-114.3,180.0,top
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,80.772,-114.3,180.0,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.692,-114.3,180.0,top
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,70.612,-114.3,180.0,top
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.532,-114.3,180.0,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.452,-114.3,180.0,top
D1,LED,LED_0805_2012Metric,60.452,-90.551,0.0,top
D2,LED,LED_0805_2012Metric,65.532,-90.551,0.0,top
D3,LED,LED_0805_2012Metric,70.612,-90.551,0.0,top
D4,LED,LED_0805_2012Metric,75.692,-90.551,0.0,top
D5,LED,LED_0805_2012Metric,80.772,-90.551,0.0,top
D6,LED,LED_0805_2012Metric,85.852,-90.551,0.0,top
D7,LED,LED_0805_2012Metric,90.932,-90.551,0.0,top
D8,LED,LED_0805_2012Metric,96.012,-90.551,0.0,top
D9,LED,LED_0805_2012Metric,96.012,-112.268,0.0,top
D10,LED,LED_0805_2012Metric,90.932,-112.268,0.0,top
D11,LED,LED_0805_2012Metric,85.852,-112.268,0.0,top
D12,LED,LED_0805_2012Metric,80.772,-112.268,0.0,top
D13,LED,LED_0805_2012Metric,75.692,-112.268,0.0,top
D14,LED,LED_0805_2012Metric,70.612,-112.268,0.0,top
D15,LED,LED_0805_2012Metric,65.532,-112.268,0.0,top
D16,LED,LED_0805_2012Metric,60.452,-112.268,0.0,top
D17,LED,LED_0805_2012Metric,140.462,-114.3,90.0,top
D18,LED,LED_0805_2012Metric,140.462,-109.22,90.0,top
